ID,l,b,Ks,J-Ks,vhel,verr,S/N,EW1,EW2,UT,INST,dwarf_giant,class
0000066+395650,112.36,-21.86,11.7,0.89,-48.3,4.2,20,4.8,5.3,2011-Nov-16,Goldcam,D,field
0004564+402930,113.45,-21.52,12.4,0.91,-33.3,2.3,12,3.6,3.9,2011-Nov-18,Goldcam,D,field
0006169+365203,112.97,-25.13,12.4,0.91,-49.1,3.7,31,3.1,3.6,2013-Oct-19,Modspec,D,field
0008452+235019,110.52,-38.0,11.6,0.92,-177.5,5.3,29,0.4,0.4,2011-Nov-11,Modspec,G,TriAnd1
0010008+395243,114.36,-22.3,11.5,0.97,-128.0,5.1,27,0.5,0.8,2011-Nov-11,Modspec,G,TriAnd2
0011284+293542,112.63,-32.48,11.3,0.92,-299.6,3.7,29,0.9,1.2,2013-Oct-19,Modspec,G,field
0011329+412258,114.94,-20.87,12.4,0.91,-3.5,5.2,22,2.1,2.4,2011-Nov-11,Modspec,D,field
0014415+371817,114.88,-24.99,10.9,0.99,-138.4,2.8,25,1.4,1.4,2012-Oct-29,Modspec,G,TriAnd1
0015168+465156,116.53,-15.56,11.1,0.93,-160.9,3.4,36,1.0,1.2,2013-Oct-20,Modspec,G,TriAnd1
0016023+450240,116.39,-17.37,11.9,0.87,-53.8,14.5,20,2.4,2.6,2011-Nov-16,Goldcam,D,field
0017402+462638,116.89,-16.03,11.3,0.94,-165.9,5.5,30,1.3,1.3,2011-Nov-18,Goldcam,G,TriAnd1
0017434+235119,113.09,-38.37,12.1,0.92,-33.8,6.3,16,4.4,4.8,2011-Nov-19,Goldcam,D,field
0018381+235402,113.36,-38.36,12.2,0.91,-52.7,4.1,13,2.1,3.6,2011-Nov-19,Goldcam,D,field
0019276+421235,116.63,-20.27,11.7,0.92,-250.9,3.4,44,1.0,1.2,2013-Oct-20,Modspec,G,field
0020518+162645,112.39,-45.8,10.9,0.98,-179.9,3.6,40,0.8,1.2,2013-Oct-20,Modspec,G,field
0021538+455316,117.57,-16.68,11.5,0.95,-18.0,3.9,41,0.9,1.1,2013-Oct-19,Modspec,G,field
0022124+400956,116.89,-22.36,11.9,0.86,-26.0,1.2,16,3.0,3.7,2011-Nov-16,Goldcam,D,field
0022430+422802,117.3,-20.09,12.0,0.9,-149.7,5.3,30,0.6,0.8,2011-Nov-11,Modspec,G,TriAnd2
0028312+401724,118.2,-22.37,11.3,0.94,-132.0,8.2,27,0.6,0.8,2011-Nov-19,Goldcam,G,TriAnd1
0033083+234632,117.55,-38.9,12.0,0.86,-19.3,2.4,21,2.4,2.6,2011-Nov-17,Goldcam,D,field
0034189+272113,118.26,-35.36,11.8,0.87,-12.6,6.3,13,2.3,2.4,2011-Nov-16,Goldcam,D,field
0034442+460719,119.91,-16.65,10.9,0.99,-141.8,5.1,23,0.9,1.0,2012-Oct-28,Modspec,G,TriAnd1
0036583+321110,119.38,-30.59,12.2,0.91,8.9,5.1,18,2.6,3.1,2011-Nov-15,Goldcam,D,field
0037165+334215,119.56,-29.08,12.4,0.9,-23.4,3.0,19,2.3,2.9,2012-Oct-28,Modspec,D,field
0037192+384457,119.92,-24.04,12.3,0.93,-11.8,1.9,14,3.9,4.6,2011-Nov-15,Goldcam,D,field
0038264+393424,120.21,-23.23,12.0,0.92,-19.8,9.8,22,4.7,5.0,2011-Nov-19,Goldcam,D,field
0038406+252313,119.3,-37.39,11.9,0.86,-5.6,3.8,22,3.3,3.9,2011-Nov-17,Goldcam,D,field
0039206+274800,119.67,-34.99,10.3,1.05,-291.4,2.1,34,0.8,1.1,2012-Oct-27,Modspec,G,field
0040357+384313,120.62,-24.1,10.8,1.0,-153.0,2.2,31,0.9,1.0,2012-Oct-27,Modspec,G,TriAnd1
0040442+363805,120.54,-26.19,12.2,0.91,-45.3,10.0,2,8.3,9.8,2011-Nov-20,Goldcam,D,field
0042427+341227,120.87,-28.62,12.0,0.86,-11.9,3.2,21,3.4,3.7,2011-Nov-17,Goldcam,D,field
0043444+340830,121.12,-28.7,12.2,0.93,-21.2,4.9,24,2.8,3.4,2012-Oct-28,Modspec,D,field
0044567+273735,121.17,-35.22,12.0,0.9,-8.0,3.2,32,3.6,4.0,2012-Oct-28,Modspec,D,field
0047532+401734,122.2,-22.57,10.0,1.11,-132.0,1.9,28,1.1,1.2,2012-Oct-27,Modspec,G,TriAnd1
0048394+422949,122.39,-20.37,10.6,1.01,-146.7,3.0,36,1.0,1.0,2012-Oct-29,Modspec,G,TriAnd1
0050296+313838,122.7,-31.23,12.0,0.92,-34.3,1.8,26,3.4,3.6,2012-Oct-28,Modspec,D,field
0050308+362458,122.72,-26.46,12.3,0.91,-74.0,4.3,26,3.2,3.6,2012-Oct-28,Modspec,D,field
0051043+335407,122.84,-28.97,12.0,0.86,-2.7,3.2,23,1.7,1.9,2011-Nov-17,Goldcam,G,field
0051100+463939,122.88,-16.21,11.0,1.04,-178.5,3.7,34,0.6,0.8,2013-Oct-19,Modspec,G,TriAnd2
0051470+280311,123.02,-34.81,11.8,0.87,-11.6,6.4,16,3.7,4.6,2011-Nov-16,Goldcam,D,field
0052055+393406,123.07,-23.3,12.4,0.91,-69.3,3.8,16,1.7,1.6,2011-Nov-18,Goldcam,G,field
0052304+393303,123.15,-23.32,10.7,1.02,-136.9,5.6,21,0.9,1.1,2011-Nov-18,Goldcam,G,TriAnd1
0053235+395559,123.34,-22.94,11.0,0.96,-134.1,2.6,26,1.2,1.4,2012-Oct-29,Modspec,G,TriAnd1
0054529+284300,123.84,-34.15,12.3,0.91,-34.6,6.1,15,3.3,3.8,2011-Nov-18,Goldcam,D,field
0054535+270317,123.88,-35.81,12.3,0.91,-15.3,5.5,15,3.0,3.8,2011-Nov-18,Goldcam,D,field
0055151+215224,124.1,-40.99,11.5,0.92,10.4,7.3,29,3.3,3.6,2011-Nov-18,Goldcam,D,field
0055369+205253,124.24,-41.97,11.8,0.88,-8.6,2.8,23,3.4,3.8,2011-Nov-17,Goldcam,D,field
0055509+411360,123.82,-21.63,12.2,0.9,-114.7,3.9,23,1.7,1.3,2013-Oct-19,Modspec,G,TriAnd2
0055551+372146,123.92,-25.5,12.4,0.9,-18.4,4.8,18,3.4,3.6,2011-Nov-18,Goldcam,D,field
0056385+362637,124.1,-26.42,12.0,0.91,-35.8,4.7,16,3.6,3.5,2011-Nov-18,Goldcam,D,field
0056509+463713,123.9,-16.24,11.8,0.88,-36.2,3.2,18,2.5,2.9,2011-Nov-17,Goldcam,D,field
0058360+450047,124.26,-17.84,11.8,0.88,-71.2,3.1,20,0.7,0.7,2011-Nov-17,Goldcam,G,TriAnd1
0059128+414245,124.48,-21.13,11.9,0.87,-13.0,2.2,14,3.2,3.6,2011-Nov-16,Goldcam,D,field
0059164+385602,124.6,-23.91,11.7,0.93,-119.9,1.9,22,0.5,-0.7,2011-Nov-12,Modspec,G,TriAnd2
0101184+374507,125.09,-25.08,11.9,0.9,-45.0,2.5,12,2.4,3.0,2011-Nov-12,Modspec,D,field
0102438+143500,127.03,-48.2,12.2,0.9,-7.4,3.6,32,2.3,2.7,2013-Oct-20,Modspec,D,field
0103574+284503,126.24,-34.04,12.2,0.92,-25.9,3.7,28,3.6,4.1,2013-Oct-19,Modspec,D,field
0104077+400235,125.56,-22.76,12.0,0.86,-30.4,1.5,24,3.4,3.7,2011-Nov-17,Goldcam,D,field
0104295+451314,125.34,-17.59,11.8,0.87,-114.8,3.9,26,0.6,0.6,2012-Oct-28,Modspec,G,TriAnd1
0106121+414018,125.89,-21.12,9.8,1.1,-187.2,2.7,26,1.2,1.3,2012-Oct-29,Modspec,G,TriAnd1
0108205+381304,126.58,-24.53,10.9,1.02,-117.0,1.9,19,1.5,1.5,2012-Oct-29,Modspec,G,TriAnd1
0108513+224421,128.17,-39.96,12.0,0.91,9.6,6.3,13,3.2,3.8,2011-Nov-18,Goldcam,D,field
0109330+392120,126.75,-23.38,10.2,1.08,-128.2,2.0,28,0.7,0.3,2012-Oct-27,Modspec,G,TriAnd1
0112312+202928,129.59,-42.1,11.8,0.88,-29.3,5.1,17,2.8,0.2,2011-Nov-17,Goldcam,G,TriAnd1
0114318+400412,127.71,-22.59,12.1,0.9,-35.1,10.0,9,3.5,3.7,2011-Nov-20,Goldcam,D,field
0118006+301415,127.05,-24.32,10.8,0.97,-99.8,5.3,28,1.1,1.3,2011-Nov-11,Modspec,G,TriAnd1
0118151+414947,128.27,-20.76,11.7,0.93,-132.2,4.1,23,0.8,0.8,2012-Oct-28,Modspec,G,TriAnd2
0118518+422120,128.33,-20.23,9.9,1.09,-168.7,4.9,26,0.7,1.0,2012-Oct-28,Modspec,G,TriAnd1
0120563+410332,128.9,-21.47,10.8,1.0,-152.1,4.7,27,1.0,1.4,2012-Oct-28,Modspec,G,TriAnd1
0123174+335858,130.44,-28.42,11.4,0.94,-111.9,3.3,26,0.6,1.1,2013-Oct-20,Modspec,G,TriAnd1
0125025+223446,133.02,-39.63,11.9,0.91,-43.9,3.8,24,3.5,4.0,2012-Oct-28,Modspec,D,field
0126456+211847,133.82,-40.81,11.9,0.86,5.1,8.0,21,4.0,4.0,2011-Nov-16,Goldcam,D,field
0129316+304749,132.51,-31.36,11.8,0.87,-44.2,2.4,22,2.7,3.3,2011-Nov-17,Goldcam,D,field
0129510+421019,130.49,-20.13,11.9,0.87,-9.5,5.4,21,4.3,4.5,2011-Nov-18,Goldcam,D,field
0131068+454442,130.13,-16.57,10.6,1.02,-148.9,5.0,10,0.6,0.8,2011-Nov-11,Modspec,G,TriAnd1
0131323+351934,132.09,-26.83,11.9,0.92,-21.1,5.3,10,3.9,4.2,2011-Nov-18,Goldcam,D,field
0131447+331853,132.54,-28.8,11.1,0.95,-231.6,4.0,36,0.4,0.5,2012-Oct-28,Modspec,G,field
0135157+392625,132.08,-22.65,10.9,0.94,-134.0,3.4,32,1.1,1.2,2013-Oct-20,Modspec,G,TriAnd1
0135572+445814,131.15,-17.19,10.6,1.04,-115.6,3.7,25,0.9,1.0,2013-Oct-19,Modspec,G,TriAnd1
0138005+310604,134.53,-30.72,11.8,0.93,-138.6,5.5,20,1.5,1.7,2011-Nov-17,Goldcam,G,TriAnd2
0143280+395547,133.65,-21.86,11.3,0.95,-95.5,2.1,30,0.8,0.8,2012-Oct-27,Modspec,G,TriAnd1
0145176+291850,136.8,-32.1,11.8,0.92,-30.0,4.0,19,4.5,4.7,2011-Nov-15,Goldcam,D,field
0145338+284751,137.02,-32.59,10.9,0.96,-91.5,1.7,30,0.5,0.8,2012-Oct-27,Modspec,G,TriAnd1
0146203+360440,135.19,-25.48,10.5,1.03,-102.8,10.0,17,1.1,1.1,2011-Nov-20,Goldcam,G,TriAnd1
0146216+402605,134.11,-21.24,12.3,0.91,-35.3,3.3,25,3.8,4.3,2013-Oct-20,Modspec,D,field
0146291+371501,134.93,-24.34,10.9,0.96,-102.0,2.9,28,0.8,1.0,2012-Oct-29,Modspec,G,TriAnd1
0146402+440851,133.28,-17.61,11.9,0.86,-109.3,5.1,18,0.5,0.7,2011-Nov-18,Goldcam,G,TriAnd1
0150346+364724,135.92,-24.59,11.8,0.91,-11.0,1.1,9,3.1,3.8,2011-Nov-17,Goldcam,D,field
0152538+394641,135.58,-21.57,11.9,0.87,3.7,2.2,19,3.2,3.4,2011-Nov-15,Goldcam,D,field
0154085+382029,136.23,-22.91,10.5,1.01,-63.3,1.6,22,0.3,0.4,2012-Oct-29,Modspec,G,TriAnd1
0154522+361326,137.0,-24.91,10.4,1.02,-75.3,1.8,29,0.8,0.8,2012-Oct-29,Modspec,G,TriAnd1
0155244+410614,135.71,-20.18,10.4,1.03,-99.9,1.5,30,0.9,1.3,2012-Oct-29,Modspec,G,TriAnd1
0155575+392150,136.31,-21.83,11.3,0.95,-126.7,3.4,33,1.1,1.2,2013-Oct-20,Modspec,G,TriAnd1
0158234+461103,134.85,-15.13,10.9,0.97,-82.2,3.4,31,1.0,1.0,2013-Oct-20,Modspec,G,TriAnd1
0159430+344015,138.53,-26.12,10.4,1.07,-127.2,2.3,28,0.9,0.9,2012-Oct-27,Modspec,G,TriAnd1
0204068+305222,140.83,-29.46,10.5,1.02,-89.5,1.2,24,1.4,1.4,2012-Oct-29,Modspec,G,TriAnd1
0205311+443659,136.56,-16.29,11.1,0.99,-101.5,3.7,30,1.3,1.3,2013-Oct-19,Modspec,G,TriAnd1
0206248+092837,151.9,-49.13,11.9,0.96,-188.3,2.1,29,0.9,1.2,2012-Oct-27,Modspec,G,field
0208047+433706,137.33,-17.1,11.1,0.97,-122.0,3.3,18,1.2,1.4,2013-Oct-20,Modspec,G,TriAnd1
0208241+343703,140.44,-25.62,10.0,1.11,-90.7,1.8,31,1.1,1.3,2012-Oct-27,Modspec,G,TriAnd1
0210532+354315,140.57,-24.42,10.3,1.07,-95.8,2.2,32,1.1,1.2,2012-Oct-27,Modspec,G,TriAnd1
0215010+391644,140.11,-20.79,9.5,1.13,-89.2,2.2,27,1.3,1.3,2012-Oct-27,Modspec,G,TriAnd1
0216479+181401,149.81,-40.14,10.9,1.02,-264.7,3.8,23,0.9,0.8,2012-Oct-29,Modspec,G,field
0218301+145038,152.29,-43.01,11.4,1.0,-232.1,2.1,16,0.8,1.1,2012-Oct-29,Modspec,G,field
0222450+061341,159.8,-49.99,12.2,0.93,-178.2,3.3,27,1.1,1.3,2013-Oct-20,Modspec,G,field
0230089+293925,147.32,-28.5,11.2,0.96,-87.1,3.6,27,1.2,1.3,2012-Oct-28,Modspec,G,TriAnd1
0232082+311429,147.0,-26.88,10.4,1.03,-60.8,3.9,24,1.4,1.4,2012-Oct-28,Modspec,G,TriAnd1
0232283+430640,141.84,-16.02,11.9,0.93,-130.6,3.5,30,0.8,0.9,2013-Oct-20,Modspec,G,TriAnd2
0235400+362908,145.29,-21.82,10.3,1.04,-100.1,4.3,22,1.4,1.6,2012-Oct-28,Modspec,G,TriAnd1
0237250+370342,145.37,-21.15,12.3,0.91,-29.9,3.8,31,3.1,3.5,2013-Oct-20,Modspec,D,field
0238059+172905,156.05,-38.43,11.8,0.97,-211.0,2.3,16,0.6,0.8,2012-Oct-29,Modspec,G,field
0240181+375140,145.56,-20.18,10.7,1.0,-98.8,4.0,21,1.4,1.4,2012-Oct-28,Modspec,G,TriAnd1
0242433+283308,150.67,-28.26,10.5,1.07,-65.7,1.8,28,1.0,1.3,2012-Oct-27,Modspec,G,TriAnd1
0243131+332942,148.22,-23.83,9.5,1.14,-61.5,1.9,25,0.5,0.7,2012-Oct-27,Modspec,G,TriAnd1
0248112+360447,147.92,-21.06,10.0,1.09,-54.1,1.9,27,0.7,0.9,2012-Oct-27,Modspec,G,TriAnd1
0248197+380710,146.94,-19.24,11.6,0.93,-75.2,3.7,38,0.9,0.9,2013-Oct-20,Modspec,G,TriAnd1
0251063+165335,159.78,-37.27,11.3,1.04,-197.5,3.8,6,1.1,1.5,2012-Oct-29,Modspec,G,field
0252502+312423,151.27,-24.7,10.1,1.08,-54.9,3.7,25,0.7,0.8,2013-Oct-19,Modspec,G,TriAnd1
0253000+375204,147.92,-19.03,11.4,0.99,-112.3,3.8,23,0.9,1.2,2013-Oct-20,Modspec,G,TriAnd2
0254132+395433,147.12,-17.13,11.5,0.92,-81.0,3.8,42,0.7,0.8,2013-Oct-19,Modspec,G,TriAnd1
0259473+374837,149.19,-18.43,11.0,0.94,-82.3,3.7,39,0.9,0.9,2013-Oct-19,Modspec,G,TriAnd1
0300140+263657,155.57,-27.97,10.3,1.07,-87.8,1.6,19,1.7,1.7,2012-Oct-29,Modspec,G,TriAnd1
0305474+271010,156.41,-26.83,11.3,0.91,-68.4,3.1,29,1.0,1.2,2013-Oct-20,Modspec,G,TriAnd1
0306248+331250,152.94,-21.68,11.4,0.95,-125.6,3.7,27,1.2,1.3,2013-Oct-19,Modspec,G,TriAnd1
0306391+252506,157.69,-28.18,11.7,0.96,-55.3,1.1,26,0.5,0.5,2012-Oct-27,Modspec,G,TriAnd2
0307189+263423,157.09,-27.14,10.6,1.02,-95.2,2.5,16,0.7,0.8,2012-Oct-29,Modspec,G,TriAnd1
0307331+350656,152.07,-19.94,10.1,1.08,-61.1,3.7,26,1.2,1.4,2013-Oct-19,Modspec,G,TriAnd1
0311305+325132,154.11,-21.4,10.5,1.02,-119.6,3.6,28,0.9,1.0,2013-Oct-19,Modspec,G,TriAnd1
0314314+243419,159.89,-27.85,11.4,1.03,-269.9,2.3,30,1.1,1.1,2012-Oct-27,Modspec,G,field
0318211+315433,155.97,-21.38,11.3,0.92,-36.9,3.6,22,0.9,1.3,2013-Oct-19,Modspec,G,TriAnd1
0319503+264652,159.51,-25.36,10.0,1.11,-83.5,1.8,27,0.8,0.7,2012-Oct-27,Modspec,G,TriAnd1
2254402+421852,100.95,-15.52,11.0,0.94,-118.4,3.7,30,1.3,1.4,2013-Oct-19,Modspec,G,TriAnd1
2259157+423030,101.82,-15.72,11.9,0.86,-53.6,2.7,25,0.7,0.7,2011-Nov-17,Goldcam,G,field
2309342+375615,101.67,-20.69,11.9,0.86,-20.1,1.2,16,4.3,4.7,2011-Nov-16,Goldcam,D,field
2311295+415714,103.74,-17.16,11.8,0.92,-204.0,3.7,30,0.9,1.0,2013-Oct-19,Modspec,G,TriAnd2
2312367+355340,101.38,-22.81,12.4,0.91,-75.7,39.8,6,1.2,1.6,2011-Nov-18,Goldcam,G,field
2314133+332953,100.65,-25.13,10.9,0.96,-201.4,2.5,28,0.4,0.5,2012-Oct-29,Modspec,G,TriAnd1
2314262+412531,104.05,-17.86,11.8,0.99,-157.4,3.4,30,1.2,1.5,2013-Oct-20,Modspec,G,TriAnd2
2314377+440800,105.16,-15.37,10.2,1.05,-180.8,4.8,13,0.4,0.8,2011-Nov-11,Modspec,G,TriAnd1
2314420+371133,102.36,-21.78,10.4,1.04,-172.6,2.5,27,1.0,1.1,2012-Oct-27,Modspec,G,TriAnd1
2317294+370149,102.84,-22.14,11.2,0.93,-312.9,5.4,33,0.7,0.9,2011-Nov-11,Modspec,G,field
2317414+311304,100.38,-27.52,10.7,1.0,-84.5,2.1,28,0.5,0.8,2012-Oct-27,Modspec,G,TriAnd1
2318119+435650,105.71,-15.78,10.3,1.04,-196.3,5.5,18,0.5,0.8,2011-Nov-18,Goldcam,G,TriAnd1
2318337+343707,102.05,-24.46,9.9,1.12,-203.9,2.3,33,0.9,1.0,2012-Oct-27,Modspec,G,TriAnd1
2318590+372440,103.29,-21.91,11.2,0.96,-143.9,2.1,24,0.5,0.8,2012-Oct-27,Modspec,G,TriAnd1
2322513+353207,103.32,-23.94,11.9,0.9,9.5,1.6,8,1.4,1.3,2011-Nov-15,Goldcam,G,field
2327114+422439,106.75,-17.79,11.8,0.88,-49.9,2.9,13,4.2,4.8,2011-Nov-16,Goldcam,D,field
2328209+400142,106.12,-20.11,11.8,0.88,-27.3,1.6,10,2.9,3.6,2011-Nov-16,Goldcam,D,field
2332500+404525,107.23,-19.71,11.1,1.06,-170.9,3.3,34,0.9,1.0,2013-Oct-20,Modspec,G,TriAnd2
2333505+450925,108.86,-15.58,11.4,0.9,-138.8,3.7,32,0.7,0.8,2013-Oct-19,Modspec,G,TriAnd1
2334021+235834,101.07,-35.59,12.1,0.94,-32.0,2.9,24,3.6,4.2,2012-Oct-28,Modspec,D,field
2337246+395922,107.86,-20.71,11.8,0.98,-172.6,5.3,16,0.7,1.0,2011-Nov-11,Modspec,G,TriAnd2
2338336+400047,108.09,-20.75,10.6,1.04,-145.8,2.4,25,1.3,1.4,2012-Oct-29,Modspec,G,TriAnd1
2339513+393604,108.21,-21.21,11.7,0.89,-25.7,2.3,19,2.7,2.9,2011-Nov-16,Goldcam,D,field
2345376+352056,108.09,-25.62,11.7,0.98,-142.7,2.4,42,1.1,1.1,2012-Oct-27,Modspec,G,TriAnd2
2346094+455731,111.24,-15.43,11.9,0.91,-156.6,3.6,39,1.0,1.1,2013-Oct-19,Modspec,G,TriAnd2
2346386+214809,103.57,-38.62,10.2,1.08,-263.1,1.9,35,0.6,0.9,2012-Oct-29,Modspec,G,field
2346533+223942,103.98,-37.82,12.4,0.9,-23.6,5.6,14,3.2,3.1,2011-Nov-18,Goldcam,D,field
2347422+235641,104.71,-36.66,12.5,0.9,-43.7,2.6,8,3.0,3.4,2012-Oct-28,Modspec,D,field
2347568+420218,110.5,-19.29,11.8,0.89,-337.9,4.3,27,0.6,0.9,2011-Nov-17,Goldcam,G,field
2348498+454925,111.67,-15.67,9.8,1.1,-112.0,3.3,22,1.0,1.5,2013-Oct-20,Modspec,G,TriAnd1
2349423+300654,107.37,-30.88,11.8,0.95,-187.2,3.4,34,0.6,0.6,2013-Oct-20,Modspec,G,TriAnd2
2350273+402510,110.55,-20.98,12.4,0.91,-37.2,4.9,15,3.3,3.8,2011-Nov-15,Goldcam,D,field
2350566+415721,111.05,-19.51,11.7,0.89,-38.4,1.9,16,4.0,4.3,2011-Nov-16,Goldcam,D,field
2352223+223401,105.48,-38.29,11.9,0.86,-15.0,3.5,14,4.1,4.0,2011-Nov-17,Goldcam,D,field
2353556+335644,109.51,-27.42,12.3,0.91,-8.3,3.9,24,2.2,2.7,2013-Oct-19,Modspec,D,field
2355440+290121,108.52,-32.29,10.6,0.99,-148.9,3.7,24,1.0,1.2,2013-Oct-19,Modspec,G,TriAnd1
2356283+210505,106.11,-39.98,11.8,0.88,-3.5,5.0,11,3.6,3.9,2011-Nov-16,Goldcam,D,field
2358446+355360,111.1,-25.76,10.8,1.03,-117.3,1.9,36,0.9,0.9,2012-Oct-27,Modspec,G,TriAnd1
2358463+120822,103.21,-48.71,11.5,0.91,-83.0,3.8,31,0.8,0.9,2013-Oct-19,Modspec,G,TriAnd1
